,Quarter,Tm,Detail,NYY,SFO
0,1.0,49ers,Gordie Soltau 5 yard pass from Frankie Albert (Gordie Soltau kick),0,7
1,2.0,Yanks,Buddy Young 1 yard rush (Harvey Johnson kick),7,7
2,2.0,Yanks,Dan Edwards 20 yard pass from Bob Celeri (Harvey Johnson kick),14,7
3,3.0,49ers,Gordie Soltau 19 yard field goal,14,10
4,4.0,49ers,"Safety, Celeri tackle in end zone by Tanner",14,12
5,4.0,49ers,Billy Wilson 7 yard pass from Y.A. Tittle (Gordie Soltau kick),14,19
