,Quarter,Tm,Detail,MIN,BKN
0,1.0,Dodgers,Stumpy Thomason unknown yard rush (Jack McBride kick),0,7
1,1.0,Dodgers,Jack McBride unknown yard rush,0,13
2,2.0,Dodgers,Stumpy Thomason 17 yard pass from Wild Bill Kelly (Mike Stramiello kick),0,20
3,3.0,Dodgers,Wild Bill Kelly 15 yard rush (Mike Stramiello kick),0,27
4,3.0,Dodgers,Jim Miller 48 yard pass from Wild Bill Kelly (Mike Stramiello kick),0,34
