,Quarter,Tm,Detail,NWE,MIA
0,1.0,Dolphins,Sammie Smith 1 yard rush (Pete Stoyanovich kick),0,7
1,1.0,Patriots,Jason Staurovsky 36 yard field goal,3,7
2,2.0,Dolphins,Sammie Smith 7 yard rush (Pete Stoyanovich kick),3,14
3,2.0,Dolphins,Dan Marino 1 yard rush (Pete Stoyanovich kick),3,21
4,3.0,Patriots,John Stephens 1 yard rush (Jason Staurovsky kick),10,21
5,4.0,Dolphins,Sammie Smith 2 yard rush (Pete Stoyanovich kick),10,28
6,4.0,Dolphins,Pete Stoyanovich 23 yard field goal,10,31
