,Quarter,Time,Tm,Detail,ARI,DAL
0,2.0,,Cowboys,Troy Aikman 1 yard rush (Richie Cunningham kick),0,7
1,2.0,,Cowboys,Ernie Mills 30 yard pass from Troy Aikman (Richie Cunningham kick),0,14
2,3.0,,Cardinals,Joe Nedney 22 yard field goal,3,14
3,3.0,,Cowboys,Troy Aikman 2 yard rush (Richie Cunningham kick),3,21
4,3.0,,Cardinals,Jake Plummer 1 yard rush (Joe Nedney kick),10,21
5,4.0,,Cowboys,Billy Davis 7 yard pass from Troy Aikman (Richie Cunningham kick),10,28
6,4.0,,Cowboys,Richie Cunningham 25 yard field goal,10,31
7,4.0,,Cowboys,Kenny Wheaton 15 yard fumble return (Richie Cunningham kick),10,38
