,Quarter,Time,Tm,Detail,KAN,SDG
0,1.0,,Chargers,John Carney 23 yard field goal,0,3
1,2.0,,Chiefs,Lin Elliott 25 yard field goal,3,3
2,2.0,,Chargers,John Carney 32 yard field goal,3,6
3,2.0,,Chargers,Natrone Means 9 yard rush (John Carney kick),3,13
4,4.0,,Chiefs,Lin Elliott 25 yard field goal,6,13
5,4.0,,Chargers,Mark Seay 5 yard pass from Stan Humphries (John Carney kick),6,20
