,Quarter,Time,Tm,Detail,OAK,NYG
0,1.0,10:24,Raiders,Zack Crockett 1 yard rush (Sebastian Janikowski kick),7,0
1,1.0,3:31,Giants,Morten Andersen 47 yard field goal,7,3
2,2.0,12:52,Raiders,Charlie Garner 21 yard pass from Rich Gannon (Sebastian Janikowski kick),14,3
3,2.0,1:51,Raiders,Tim Brown 46 yard pass from Rich Gannon (Sebastian Janikowski kick),21,3
4,3.0,4:10,Giants,Tiki Barber 12 yard rush (Morten Andersen kick),21,10
5,4.0,9:34,Raiders,Tim Brown 19 yard pass from Rich Gannon (Sebastian Janikowski kick),28,10
