,Quarter,Tm,Detail,PIT,NYJ
0,1.0,Steelers,Gregg Garrity 17 yard pass from Terry Bradshaw (Gary Anderson kick),7,0
1,2.0,Steelers,Calvin Sweeney 10 yard pass from Terry Bradshaw (Gary Anderson kick),14,0
2,2.0,Steelers,Gary Anderson 29 yard field goal,17,0
3,2.0,Steelers,Gary Anderson 40 yard field goal,20,0
4,3.0,Steelers,Bennie Cunningham 13 yard pass from Cliff Stoudt (Gary Anderson kick),27,0
5,3.0,Jets,Lam Jones 27 yard pass from Pat Ryan (Pat Leahy kick),27,7
6,4.0,Steelers,Calvin Sweeney 18 yard pass from Cliff Stoudt (Gary Anderson kick),34,7
