,Quarter,Tm,Detail,DAL,RAM
0,1.0,Rams,Harold Jackson 63 yard pass from John Hadl (David Ray kick),0,7
1,1.0,Rams,Harold Jackson 16 yard pass from John Hadl (David Ray kick),0,14
2,1.0,Cowboys,Mel Renfro 30 yard interception return (Toni Fritsch kick),7,14
3,2.0,Rams,Harold Jackson 67 yard pass from John Hadl (David Ray kick),7,21
4,2.0,Cowboys,Calvin Hill 8 yard rush (Toni Fritsch kick),14,21
5,2.0,Rams,Harold Jackson 36 yard pass from John Hadl (David Ray kick),14,28
6,2.0,Rams,David Ray 27 yard field goal,14,31
7,2.0,Rams,David Ray 37 yard field goal,14,34
8,3.0,Cowboys,Otto Stowe 6 yard pass from Roger Staubach (Toni Fritsch kick),21,34
9,3.0,Rams,David Ray 35 yard field goal,21,37
10,4.0,Cowboys,Otto Stowe 10 yard pass from Roger Staubach (Toni Fritsch kick),28,37
11,4.0,Cowboys,Toni Fritsch 8 yard field goal,31,37
