,Quarter,Time,Tm,Detail,PIT,JAX
0,3.0,5:24,Jaguars,Josh Scobee 31 yard field goal,0,3
1,4.0,6:15,Jaguars,Josh Scobee 32 yard field goal,0,6
2,4.0,4:26,Jaguars,Josh Scobee 42 yard field goal,0,9
