,Quarter,Tm,Detail,NOR,PHI
0,1.0,Saints,Tom Dempsey 22 yard field goal,3,0
1,2.0,Eagles,Sam Baker 12 yard field goal,3,3
2,2.0,Eagles,Sam Baker 40 yard field goal,3,6
3,3.0,Eagles,Norm Snead 5 yard rush (Sam Baker kick),3,13
4,4.0,Saints,Jimmy Hester 11 yard pass from Jim Ninowski (Tom Dempsey kick),10,13
