,Quarter,Time,Tm,Detail,DEN,SDG
0,1.0,8:50,Broncos,Jason Elam 44 yard field goal,3,0
1,2.0,13:20,Broncos,Bill Romanowski 18 yard interception return (Jason Elam kick),10,0
2,2.0,5:51,Chargers,John Carney 46 yard field goal,10,3
3,2.0,0:00,Broncos,Jason Elam 55 yard field goal,13,3
4,3.0,8:28,Broncos,Olandis Gary 23 yard rush (Jason Elam kick),20,3
5,3.0,3:10,Chargers,Freddie Jones 7 yard pass from Jim Harbaugh (John Carney kick),20,10
6,4.0,13:26,Broncos,Jason Elam 41 yard field goal,23,10
7,4.0,9:17,Chargers,Charlie Jones 44 yard pass from Jim Harbaugh (John Carney kick),23,17
8,4.0,4:18,Broncos,Jason Elam 24 yard field goal,26,17
9,4.0,1:56,Broncos,Olandis Gary 5 yard rush (Jason Elam kick),33,17
