,Quarter,Tm,Detail,MIA,STL
0,2.0,Dolphins,Uwe von Schamann 27 yard field goal,3,0
1,2.0,Dolphins,Jimmy Cefalo 22 yard pass from David Woodley (Uwe von Schamann kick),10,0
2,2.0,Dolphins,Uwe von Schamann 30 yard field goal,13,0
3,3.0,Dolphins,Jimmy Cefalo 47 yard pass from David Woodley (Uwe von Schamann kick),20,0
4,4.0,Cardinals,Ottis Anderson 1 yard rush (Neil O'Donoghue kick),20,7
