,Quarter,Tm,Detail,COL,BUF
0,1,Rangers,Elmer Slough 30 yard pass from Jim Kendrick (Jim Kendrick kick),0,7
1,2,Rangers,Roy Guffey unknown yard pass from Jim Kendrick (Jim Kendrick kick),0,14
2,3,Rangers,Neely Allison 30 yard pass from Jim Kendrick,0,20
3,4,Rangers,Ben Hobson unknown yard rush,0,26
