,Quarter,Tm,Detail,GNB,DET
0,1.0,Packers,Don Hutson 12 yard pass from Cecil Isbell (Don Hutson kick),7,0
1,2.0,Packers,Clarke Hinkle 25 yard field goal,10,0
2,2.0,Packers,Carl Mulleneaux 26 yard pass from Cecil Isbell (Don Hutson kick),17,0
3,4.0,Packers,Don Hutson 6 yard pass from Cecil Isbell (Don Hutson kick),24,0
4,4.0,Lions,Steve Belichick 77 yard punt return (Augie Lio kick),24,7
