,Quarter,Time,Tm,Detail,STL,SFO
0,1.0,4:47,Rams,Jeff Wilkins 40 yard field goal,3,0
1,2.0,8:13,49ers,Fred Beasley 1 yard rush (Wade Richey kick),3,7
2,2.0,3:02,Rams,Isaac Bruce 5 yard pass from Kurt Warner (Jeff Wilkins kick),10,7
3,2.0,0:00,Rams,Jeff Wilkins 20 yard field goal,13,7
4,3.0,9:41,Rams,Mike Jones 44 yard interception return (Jeff Wilkins kick),20,7
5,3.0,2:23,Rams,Jeff Wilkins 49 yard field goal,23,7
