,Quarter,Tm,Detail,NOR,STL
0,1.0,Saints,Dave Parks 25 yard pass from Billy Kilmer (Tom Dempsey kick),7,0
1,1.0,Cardinals,Dave Williams 32 yard pass from Charley Johnson (Jim Bakken kick),7,7
2,2.0,Cardinals,Dave Williams 14 yard pass from Charley Johnson (Jim Bakken kick),7,14
3,2.0,Saints,Tom Dempsey 43 yard field goal,10,14
4,2.0,Saints,Ernie Wheelwright 20 yard pass from Billy Kilmer (Tom Dempsey kick),17,14
5,2.0,Saints,Danny Abramowicz 5 yard pass from Billy Kilmer,23,14
6,3.0,Saints,Don Shy 28 yard pass from Billy Kilmer (Tom Dempsey kick),30,14
7,3.0,Saints,Ernie Wheelwright 1 yard rush (Tom Dempsey kick),37,14
8,3.0,Cardinals,John Gilliam 28 yard pass from Charley Johnson (Jim Bakken kick),37,21
9,3.0,Saints,Danny Abramowicz 11 yard pass from Billy Kilmer (Tom Dempsey kick),44,21
10,4.0,Saints,Dave Parks 13 yard pass from Billy Kilmer (Tom Dempsey kick),51,21
11,4.0,Cardinals,Dave Williams 31 yard pass from Charley Johnson (Jim Bakken kick),51,28
12,4.0,Cardinals,Dave Williams 26 yard pass from Charley Johnson (Jim Bakken kick),51,35
13,4.0,Cardinals,Roy Shivers 14 yard pass from Charley Johnson (Jim Bakken kick),51,42
