,Quarter,Tm,Detail,ATL,SEA
0,2.0,Falcons,Nick Mike-Mayer 18 yard field goal,3,0
1,2.0,Seahawks,Sherman Smith 21 yard pass from Jim Zorn (John Leypoldt kick),3,7
2,2.0,Seahawks,John McMakin 31 yard pass from Jim Zorn (John Leypoldt kick),3,14
3,3.0,Seahawks,"Safety, Brown tackled Lawrence in end zone",3,16
4,3.0,Falcons,Nick Mike-Mayer 21 yard field goal,6,16
5,3.0,Seahawks,Al Matthews 40 yard interception return (John Leypoldt kick),6,23
6,3.0,Seahawks,Sherman Smith 53 yard rush (John Leypoldt kick),6,30
7,4.0,Falcons,Alfred Jenkins 15 yard pass from Kim McQuilken (Nick Mike-Mayer kick),13,30
