,Quarter,Tm,Detail,RAC,MIL
0,1,Badgers,Fritz Pollard 3 yard rush (Fritz Pollard kick),0,7
1,2,Badgers,Fritz Pollard 1 yard rush,0,13
2,4,Badgers,Dinger Doane 1 yard rush (Fritz Pollard kick),0,20
