,Quarter,Tm,Detail,DET,SDG
0,1.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),0,7
1,1.0,Lions,Eddie Murray 18 yard field goal,3,7
2,3.0,Lions,Gary Danielson 11 yard rush (Eddie Murray kick),10,7
3,3.0,Lions,Eddie Murray 37 yard field goal,13,7
4,3.0,Chargers,Kellen Winslow 7 yard pass from Dan Fouts (Rolf Benirschke kick),13,14
5,4.0,Lions,Billy Sims 12 yard rush (Eddie Murray kick),20,14
6,4.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),20,21
7,4.0,Lions,Eddie Murray 30 yard field goal,23,21
8,4.0,Chargers,John Cappelletti 2 yard rush (Rolf Benirschke kick),23,28
