,Quarter,Tm,Detail,NOR,MIN
0,1.0,Saints,Wayne Wilson 41 yard rush (Morten Andersen kick),7,0
1,1.0,Vikings,Alfred Anderson 54 yard pass from Tommy Kramer (Jan Stenerud kick),7,7
2,1.0,Saints,Earl Campbell 4 yard rush (Morten Andersen kick),14,7
3,2.0,Saints,Morten Andersen 26 yard field goal,17,7
4,2.0,Saints,Morten Andersen 47 yard field goal,20,7
5,2.0,Vikings,Jan Stenerud 22 yard field goal,20,10
6,3.0,Saints,Morten Andersen 45 yard field goal,23,10
7,3.0,Vikings,Jan Stenerud 22 yard field goal,23,13
8,4.0,Vikings,Jan Stenerud 37 yard field goal,23,16
9,4.0,Vikings,Mike Jones 6 yard pass from Tommy Kramer (Jan Stenerud kick),23,23
10,4.0,Saints,John Tice 39 yard pass from Bobby Hebert (Morten Andersen kick),30,23
