,Quarter,Time,Tm,Detail,NWE,IND
0,1.0,,Colts,Cary Blanchard 21 yard field goal,0,3
1,2.0,,Colts,Cary Blanchard 35 yard field goal,0,6
2,2.0,2:15,Patriots,Terry Glenn 8 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,6
3,2.0,2:15,Patriots,Adam Vinatieri 44 yard field goal,10,6
4,3.0,2:15,Patriots,Curtis Martin 1 yard rush (Adam Vinatieri kick),17,6
5,3.0,2:15,Patriots,Curtis Martin 6 yard rush (Adam Vinatieri kick),24,6
6,4.0,2:15,Colts,Cary Blanchard 38 yard field goal,24,9
7,4.0,2:15,Patriots,Adam Vinatieri 36 yard field goal,27,9
