,Quarter,Tm,Detail,RAM,STL
0,1.0,Cardinals,Jim Bakken 39 yard field goal,0,3
1,1.0,Rams,Billy Truax 59 yard pass from Roman Gabriel (Bruce Gossett kick),7,3
2,2.0,Rams,Dick Bass 16 yard pass from Roman Gabriel (Bruce Gossett kick),14,3
3,2.0,Rams,Bruce Gossett 18 yard field goal,17,3
4,3.0,Rams,Bruce Gossett 46 yard field goal,20,3
5,4.0,Rams,Eddie Meador 11 yard rush (Bruce Gossett kick),27,3
