,Quarter,Time,Tm,Detail,GNB,IND
0,1.0,,Packers,Dorsey Levens 3 yard pass from Brett Favre (Ryan Longwell kick),7,0
1,1.0,,Colts,Cary Blanchard 42 yard field goal,7,3
2,1.0,,Packers,Dorsey Levens 52 yard rush (Ryan Longwell kick),14,3
3,1.0,,Colts,Marvin Harrison 17 yard pass from Paul Justin (pass failed),14,9
4,2.0,2:23,Colts,Albert Fontenot 33 yard fumble return (Brian Stablein pass from Paul Justin),14,17
5,2.0,14:50,Colts,Jason Belser 50 yard touchdown on a lateral (Cary Blanchard kick),14,24
6,2.0,14:50,Packers,Dorsey Levens 1 yard rush (Ryan Longwell kick),21,24
7,2.0,14:50,Packers,Antonio Freeman 16 yard pass from Brett Favre (Ryan Longwell kick),28,24
8,2.0,14:50,Colts,Cary Blanchard 41 yard field goal,28,27
9,3.0,14:50,Colts,Cary Blanchard 35 yard field goal,28,30
10,4.0,14:50,Packers,Ryan Longwell 18 yard field goal,31,30
11,4.0,14:50,Colts,Lamont Warren 3 yard rush (Marvin Harrison pass from Paul Justin),31,38
12,4.0,14:50,Packers,Antonio Freeman 26 yard pass from Brett Favre (Ryan Longwell kick),38,38
13,4.0,14:50,Colts,Cary Blanchard 20 yard field goal,38,41
