,Quarter,Time,Tm,Detail,CLE,TEN
0,3.0,13:24,Browns,Percy Ellsworth 33 yard interception return (Phil Dawson kick),7,0
1,3.0,10:51,Titans,Eddie George 4 yard rush (Al Del Greco kick),7,7
2,3.0,5:17,Browns,Phil Dawson 38 yard field goal,10,7
3,3.0,0:13,Titans,Eddie George 1 yard rush (Al Del Greco kick),10,14
4,4.0,10:49,Titans,Al Del Greco 22 yard field goal,10,17
5,4.0,2:25,Titans,Eddie George 1 yard rush (Al Del Greco kick),10,24
