,Quarter,Time,Tm,Detail,CIN,BUF
0,1.0,3:07,Bills,Dawson Knox 1 yard pass from Josh Allen (Cole Beasley pass from Josh Allen ),0,8
1,2.0,10:33,Bills,Stephen Hauschka 34 yard field goal,0,11
2,2.0,2:16,Bills,Stephen Hauschka 45 yard field goal,0,14
3,3.0,5:54,Bengals,Andy Dalton 1 yard rush (Randy Bullock kick),7,14
4,4.0,12:30,Bengals,Joe Mixon 1 yard pass from Andy Dalton (Randy Bullock kick),14,14
5,4.0,4:58,Bengals,Randy Bullock 43 yard field goal,17,14
6,4.0,1:54,Bills,Frank Gore 1 yard rush (Stephen Hauschka kick),17,21
