,Quarter,Time,Tm,Detail,SEA,NOR
0,1.0,7:53,Seahawks,Earl Thomas 34 yard defensive fumble return (Stephen Hauschka kick),7,0
1,2.0,11:33,Saints,Wil Lutz 22 yard field goal,7,3
2,2.0,9:53,Seahawks,Christine Michael 2 yard rush (Stephen Hauschka kick),14,3
3,2.0,5:15,Saints,Wil Lutz 53 yard field goal,14,6
4,2.0,0:49,Saints,Drew Brees 1 yard rush (Wil Lutz kick),14,13
5,3.0,8:56,Seahawks,Stephen Hauschka 44 yard field goal,17,13
6,3.0,3:14,Saints,Wil Lutz 21 yard field goal,17,16
7,4.0,12:24,Saints,Brandin Cooks 2 yard pass from Drew Brees (pass failed),17,22
8,4.0,6:38,Seahawks,Stephen Hauschka 21 yard field goal,20,22
9,4.0,1:57,Saints,Wil Lutz 41 yard field goal,20,25
