,Quarter,Tm,Detail,DET,SFO
0,1.0,49ers,Bernie Casey 9 yard pass from John Brodie (Tommy Davis kick),0,7
1,1.0,Lions,Sam Williams 22 yard interception return (Wayne Walker kick),7,7
2,1.0,Lions,Wayne Walker 22 yard field goal,10,7
3,2.0,49ers,J.D. Smith 1 yard rush (Tommy Davis kick),10,14
4,2.0,Lions,Pat Studstill 23 yard pass from Milt Plum (Wayne Walker kick),17,14
5,2.0,49ers,Tommy Davis 11 yard field goal,17,17
6,2.0,Lions,Nick Pietrosante 1 yard rush (Wayne Walker kick),24,17
7,3.0,Lions,Ken Webb 1 yard rush (Wayne Walker kick),31,17
8,4.0,Lions,Tom Watkins 29 yard rush (Wayne Walker kick),38,17
9,4.0,49ers,Monty Stickles 24 yard pass from John Brodie (Tommy Davis kick),38,24
