,Quarter,Tm,Detail,CLE,ATL
0,1.0,Browns,Greg Pruitt 1 yard rush (Don Cockroft kick),7,0
1,1.0,Browns,Cleo Miller 1 yard rush (Don Cockroft kick),14,0
2,2.0,Falcons,Bubba Bean 23 yard rush (Nick Mike-Mayer kick),14,7
3,2.0,Falcons,John Gilliam 18 yard pass from Kim McQuilken (Nick Mike-Mayer kick),14,14
4,3.0,Falcons,Nick Mike-Mayer 33 yard field goal,14,17
5,3.0,Browns,Greg Pruitt 2 yard rush (run failed),20,17
