,Quarter,Tm,Detail,POT,CRD
0,1,Maroons,Frank Racis blocked punt recovery in end zone (Barney Wentz kick),7,0
1,2,Cardinals,Rollin Roach unknown yard rush,7,6
2,3,Cardinals,Ben Jones unknown yard rush (Bub Weller kick),7,13
3,4,Cardinals,Paul Hogan unknown yard rush,7,19
