,Quarter,Tm,Detail,NYJ,MIA
0,1,Jets,Brad Baxter 1 yard rush (Raul Allegre kick),7,0
1,2,Dolphins,Mark Clayton 18 yard pass from Dan Marino (Pete Stoyanovich kick),7,7
2,3,Dolphins,Pete Stoyanovich 23 yard field goal,7,10
3,3,Jets,Brad Baxter 1 yard rush (Raul Allegre kick),14,10
4,4,Dolphins,Pete Stoyanovich 33 yard field goal,14,13
5,4,Jets,Raul Allegre 25 yard field goal,17,13
6,4,Dolphins,Ferrell Edmunds 1 yard pass from Dan Marino (Pete Stoyanovich kick),17,20
7,4,Jets,Raul Allegre 44 yard field goal,20,20
8,OT,Jets,Raul Allegre 30 yard field goal,23,20
