,Quarter,Tm,Detail,SEA,MIA
0,1.0,Seahawks,John Leypoldt 19 yard field goal,3,0
1,2.0,Dolphins,Nat Moore 12 yard pass from Bob Griese (Garo Yepremian kick),3,7
2,2.0,Dolphins,Don Nottingham 1 yard rush (Garo Yepremian kick),3,14
3,2.0,Seahawks,Steve Largent 13 yard pass from Steve Myer (John Leypoldt kick),10,14
4,2.0,Dolphins,Nat Moore 4 yard pass from Bob Griese (Garo Yepremian kick),10,21
5,2.0,Dolphins,Garo Yepremian 29 yard field goal,10,24
6,4.0,Seahawks,John Leypoldt 41 yard field goal,13,24
7,4.0,Dolphins,Don Nottingham 3 yard rush (Garo Yepremian kick),13,31
