,Quarter,Tm,Detail,GNB,BAL
0,1.0,Colts,Gary Kerkorian 26 yard field goal,0,3
1,3.0,Colts,Gary Kerkorian 26 yard field goal,0,6
2,3.0,Packers,Breezy Reid 3 yard rush (Fred Cone kick),7,6
