,Quarter,Tm,Detail,RII,KAN
0,1.0,Blues,Rufe DeWitz unknown yard field goal,0,3
1,2.0,Independents,Rube Ursella 2 yard pass from John Armstrong (Rube Ursella kick),7,3
2,4.0,Blues,Chuck Corgan 38 yard pass from Rufe DeWitz (Chuck Corgan kick),7,10
3,4.0,Blues,Charley Hill 32 yard rush,7,16
4,4.0,Blues,Chuck Corgan 1 yard rush (Chuck Corgan kick),7,23
