,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,Dan Lewis 2 yard rush (Wayne Walker kick),0,7
1,2.0,Rams,Danny Villanueva 48 yard field goal,3,7
2,2.0,Lions,Milt Plum 43 yard field goal,3,10
3,3.0,Lions,Milt Plum 31 yard field goal,3,13
4,4.0,Rams,Carroll Dale 37 yard pass from Zeke Bratkowski (Danny Villanueva kick),10,13
