,Quarter,Tm,Detail,GNB,DEN
0,1.0,Packers,Chester Marcol 19 yard field goal,3,0
1,3.0,Broncos,Haven Moses 14 yard pass from Craig Morton (Jim Turner kick),3,7
2,3.0,Broncos,Rob Lytle 2 yard rush (Jim Turner kick),3,14
3,4.0,Broncos,"Safety, Alzado tackled Whitehurst in end zone",3,16
