,Quarter,Tm,Detail,ATL,NOR
0,2.0,Falcons,Art Malone 2 yard rush (Nick Mike-Mayer kick),7,0
1,2.0,Falcons,Nick Mike-Mayer 21 yard field goal,10,0
2,2.0,Falcons,Tom Hayes 65 yard interception return (Nick Mike-Mayer kick),17,0
3,2.0,Falcons,Ken Burrow 34 yard pass from Dick Shiner (Nick Mike-Mayer kick),24,0
4,3.0,Falcons,Ken Burrow 23 yard pass from Dick Shiner (Nick Mike-Mayer kick),31,0
5,3.0,Saints,Bill Butler 5 yard pass from Archie Manning (Happy Feller kick),31,7
6,3.0,Falcons,Wes Chesson 16 yard pass from Dick Shiner (Nick Mike-Mayer kick),38,7
7,3.0,Falcons,Joe Profit 3 yard rush (Nick Mike-Mayer kick),45,7
8,4.0,Falcons,Nick Mike-Mayer 45 yard field goal,48,7
9,4.0,Falcons,Eddie Ray 8 yard pass from Bob Lee (Nick Mike-Mayer kick),55,7
10,4.0,Falcons,Eddie Ray 1 yard rush (Nick Mike-Mayer kick),62,7
