,Quarter,Time,Tm,Detail,WAS,DAL
0,2.0,,Cowboys,Emmitt Smith 7 yard rush (Chris Boniol kick),0,7
1,2.0,,Redskins,Terry Allen 2 yard rush (Eddie Murray kick),7,7
2,2.0,,Cowboys,Chris Boniol 37 yard field goal,7,10
3,3.0,,Redskins,Henry Ellard 10 yard pass from Heath Shuler (Eddie Murray kick),14,10
4,4.0,,Redskins,Terry Allen 1 yard rush (Eddie Murray kick),21,10
5,4.0,,Redskins,Eddie Murray 47 yard field goal,24,10
6,4.0,,Cowboys,Michael Irvin 3 yard pass from Troy Aikman (Chris Boniol kick),24,17
