,Quarter,Time,Tm,Detail,IND,NYJ
0,1.0,8:47,Jets,Wayne Chrebet 11 yard pass from Vinny Testaverde (John Hall kick),0,7
1,1.0,4:35,Jets,Dedric Ward 13 yard pass from Vinny Testaverde (John Hall kick),0,14
2,2.0,10:25,Jets,John Hall 45 yard field goal,0,17
3,2.0,0:00,Jets,John Hall 21 yard field goal,0,20
4,3.0,12:22,Colts,Mike Vanderjagt 32 yard field goal,3,20
5,3.0,1:01,Colts,Marvin Harrison 17 yard pass from Peyton Manning (Mike Vanderjagt kick),10,20
6,4.0,9:50,Colts,Terrence Wilkins 43 yard pass from Peyton Manning (Mike Vanderjagt kick),17,20
7,4.0,3:17,Jets,Curtis Martin 2 yard rush (John Hall kick),17,27
