,Quarter,Tm,Detail,DEN,IND
0,1.0,Colts,Eric Dickerson 12 yard rush (Dean Biasucci kick),0,7
1,1.0,Colts,Eric Dickerson 11 yard rush (Dean Biasucci kick),0,14
2,1.0,Colts,Eric Dickerson 1 yard rush (Dean Biasucci kick),0,21
3,2.0,Colts,Dean Biasucci 31 yard field goal,0,24
4,2.0,Colts,Eric Dickerson 41 yard rush (Dean Biasucci kick),0,31
5,2.0,Broncos,Steve Sewell 2 yard pass from John Elway (Rich Karlis kick),7,31
6,2.0,Colts,Bill Brooks 53 yard pass from Gary Hogeboom (Dean Biasucci kick),7,38
7,2.0,Broncos,Rich Karlis 27 yard field goal,10,38
8,2.0,Colts,Clarence Verdin 40 yard pass from Chris Chandler (Dean Biasucci kick),10,45
9,3.0,Colts,Dean Biasucci 27 yard field goal,10,48
10,4.0,Colts,Albert Bentley 4 yard rush (Dean Biasucci kick),10,55
11,4.0,Broncos,Vance Johnson 7 yard pass from Gary Kubiak,16,55
12,4.0,Broncos,Steve Sewell 48 yard pass from Gary Kubiak (Rich Karlis kick),23,55
