,Quarter,Tm,Detail,DAL,MIA
0,1.0,Dolphins,Norm Bulaich 1 yard rush (Garo Yepremian kick),0,7
1,1.0,Dolphins,Delvin Williams 1 yard rush (Garo Yepremian kick),0,14
2,1.0,Dolphins,Garo Yepremian 45 yard field goal,0,17
3,2.0,Cowboys,Rafael Septien 30 yard field goal,3,17
4,2.0,Dolphins,Garo Yepremian 23 yard field goal,3,20
5,3.0,Cowboys,Rafael Septien 39 yard field goal,6,20
6,3.0,Cowboys,Rafael Septien 24 yard field goal,9,20
7,4.0,Dolphins,Garo Yepremian 33 yard field goal,9,23
8,4.0,Cowboys,Billy Joe DuPree 9 yard pass from Roger Staubach (Rafael Septien kick),16,23
