,Quarter,Tm,Detail,DAL,STL
0,1.0,Cardinals,Wayne Morris 9 yard rush (Neil O'Donoghue kick),0,7
1,1.0,Cowboys,Tony Dorsett 7 yard rush (Rafael Septien kick),7,7
2,1.0,Cardinals,Neil O'Donoghue 19 yard field goal,7,10
3,2.0,Cowboys,Rafael Septien 26 yard field goal,10,10
4,3.0,Cardinals,Roy Green 30 yard pass from Jim Hart (Neil O'Donoghue kick),10,17
5,3.0,Cowboys,Tony Dorsett 11 yard pass from Danny White (Rafael Septien kick),17,17
6,4.0,Cardinals,Neil O'Donoghue 37 yard field goal,17,20
