,Quarter,Tm,Detail,DAL,RAM
0,1.0,Cowboys,Preston Pearson 18 yard pass from Roger Staubach (Toni Fritsch kick),7,0
1,2.0,Cowboys,Golden Richards 4 yard pass from Roger Staubach (Toni Fritsch kick),14,0
2,2.0,Cowboys,Preston Pearson 15 yard pass from Roger Staubach (Toni Fritsch kick),21,0
3,3.0,Cowboys,Preston Pearson 19 yard pass from Roger Staubach (Toni Fritsch kick),28,0
4,3.0,Cowboys,Toni Fritsch 40 yard field goal,31,0
5,3.0,Cowboys,Toni Fritsch 26 yard field goal,34,0
6,4.0,Rams,John Cappelletti 1 yard rush (Tom Dempsey kick),34,7
7,4.0,Cowboys,Toni Fritsch 26 yard field goal,37,7
