,Quarter,Tm,Detail,RAM,PHI
0,1.0,Rams,Lou Michaels 19 yard field goal,3,0
1,2.0,Eagles,Paige Cothren 22 yard field goal,3,3
2,2.0,Rams,Jon Arnett 80 yard rush (Lou Michaels kick),10,3
3,2.0,Eagles,Clarence Peaks 3 yard rush (Bobby Walston kick),10,10
4,2.0,Eagles,Paige Cothren 40 yard field goal,10,13
5,3.0,Eagles,Jerry Huth fumble recovery in end zone (Bobby Walston kick),10,20
6,4.0,Rams,Red Phillips 26 yard pass from Billy Wade (Lou Michaels kick),17,20
7,4.0,Rams,Lou Michaels 38 yard field goal,20,20
8,4.0,Eagles,Paige Cothren 14 yard field goal,20,23
