,Quarter,Time,Tm,Detail,WAS,DAL
0,1.0,,Cowboys,Emmitt Smith 8 yard rush (Chris Boniol kick),0,7
1,1.0,,Cowboys,Emmitt Smith 3 yard rush (Chris Boniol kick),0,14
2,1.0,,Cowboys,Chris Boniol 32 yard field goal,0,17
3,2.0,,Redskins,Desmond Howard 19 yard pass from John Friesz (Chip Lohmiller kick),7,17
4,2.0,,Cowboys,Alvin Harper 15 yard pass from Rodney Peete (Chris Boniol kick),7,24
5,3.0,,Cowboys,Kevin Williams 83 yard punt return (Chris Boniol kick),7,31
