,Quarter,Time,Tm,Detail,SDG,MIN
0,1.0,5:44,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),7,0
1,1.0,2:49,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),7,7
2,2.0,0:00,Chargers,Antonio Cromartie 109 yard field goal return (Nate Kaeding kick),14,7
3,3.0,12:44,Vikings,Adrian Peterson 64 yard rush (Ryan Longwell kick),14,14
4,3.0,3:07,Vikings,Sidney Rice 40 yard pass from Brooks Bollinger (Ryan Longwell kick),14,21
5,4.0,14:09,Chargers,Nate Kaeding 36 yard field goal,17,21
6,4.0,7:44,Vikings,Adrian Peterson 46 yard rush (Ryan Longwell kick),17,28
7,4.0,4:28,Vikings,Chester Taylor 2 yard rush (Ryan Longwell kick),17,35
