,Quarter,Time,Tm,Detail,TEN,BAL
0,1.0,5:52,Ravens,Matt Stover 38 yard field goal,0,3
1,2.0,7:56,Titans,Rob Bironas 35 yard field goal,3,3
2,3.0,9:23,Ravens,Le'Ron McClain 1 yard rush (Matt Stover kick),3,10
3,4.0,12:49,Titans,Rob Bironas 26 yard field goal,6,10
4,4.0,1:56,Titans,Alge Crumpler 11 yard pass from Kerry Collins (Rob Bironas kick),13,10
