,Quarter,Time,Tm,Detail,CAR,ATL
0,1.0,7:02,Panthers,Joe Nedney 35 yard field goal,3,0
1,1.0,0:54,Falcons,Morten Andersen 35 yard field goal,3,3
2,2.0,9:43,Panthers,Joe Nedney 48 yard field goal,6,3
3,3.0,3:29,Panthers,Joe Nedney 25 yard field goal,9,3
4,4.0,12:40,Panthers,Joe Nedney 24 yard field goal,12,3
5,4.0,5:04,Falcons,Jamal Anderson 2 yard rush (Morten Andersen kick),12,10
6,4.0,2:53,Falcons,Morten Andersen 31 yard field goal,12,13
