,Quarter,Time,Tm,Detail,PHI,MIN
0,1.0,7:48,Vikings,Adam Thielen 6 yard pass from Kirk Cousins (Dan Bailey kick),0,7
1,1.0,1:57,Vikings,Dan Bailey 39 yard field goal,0,10
2,2.0,12:15,Eagles,Jake Elliott 53 yard field goal,3,10
3,2.0,11:47,Vikings,Stefon Diggs 62 yard pass from Kirk Cousins (Dan Bailey kick),3,17
4,2.0,9:39,Vikings,Stefon Diggs 51 yard pass from Kirk Cousins (Dan Bailey kick),3,24
5,2.0,7:09,Eagles,Miles Sanders 32 yard pass from Carson Wentz (Jake Elliott kick),10,24
6,3.0,12:18,Eagles,Alshon Jeffery 3 yard pass from Carson Wentz (Jake Elliott kick),17,24
7,3.0,6:23,Eagles,Jake Elliott 40 yard field goal,20,24
8,3.0,1:22,Vikings,Stefon Diggs 11 yard pass from Kirk Cousins (Dan Bailey kick),20,31
9,4.0,8:21,Vikings,Dalvin Cook 1 yard rush (Dan Bailey kick),20,38
