,Quarter,Time,Tm,Detail,DEN,SDG
0,1.0,9:18,Broncos,Julius Thomas 74 yard pass from Peyton Manning (Matt Prater kick),7,0
1,2.0,14:58,Chargers,Nick Novak 26 yard field goal,7,3
2,2.0,9:05,Chargers,Nick Novak 40 yard field goal,7,6
3,2.0,6:38,Broncos,Demaryius Thomas 11 yard pass from Peyton Manning (Matt Prater kick),14,6
4,2.0,0:13,Broncos,Demaryius Thomas 7 yard pass from Peyton Manning (Matt Prater kick),21,6
5,3.0,11:34,Broncos,Demaryius Thomas 34 yard pass from Peyton Manning (Matt Prater kick),28,6
6,3.0,8:38,Chargers,Danny Woodhead 7 yard pass from Philip Rivers (Nick Novak kick),28,13
7,4.0,10:42,Chargers,Ryan Mathews 1 yard rush (Nick Novak kick),28,20
