,Quarter,Tm,Detail,HOU,OAK
0,1.0,Raiders,Drew Buie 63 yard pass from Daryle Lamonica (George Blanda kick),0,7
1,1.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),0,14
2,1.0,Raiders,Drew Buie 25 yard pass from Daryle Lamonica (George Blanda kick),0,21
3,2.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),0,28
4,2.0,Raiders,Jimmy Warren 59 yard interception return (George Blanda kick),0,35
5,2.0,Raiders,George Blanda 10 yard field goal,0,38
6,3.0,Raiders,George Blanda 33 yard field goal,0,41
7,4.0,Oilers,Dan Pastorini 1 yard rush (Mark Moseley kick),7,41
8,4.0,Oilers,Jim Beirne 14 yard pass from Dan Pastorini (Mark Moseley kick),14,41
9,4.0,Oilers,Ward Walsh 1 yard pass from Dan Pastorini (Mark Moseley kick),21,41
