,Quarter,Tm,Detail,SDG,NWE
0,1.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),0,7
1,1.0,Patriots,Don Calhoun 10 yard rush (John Smith kick),0,14
2,1.0,Patriots,John Smith 31 yard field goal,0,17
3,2.0,Patriots,John Smith 31 yard field goal,0,20
4,2.0,Chargers,John Jefferson 19 yard pass from Dan Fouts (Rolf Benirschke kick),7,20
5,2.0,Chargers,Clarence Williams 1 yard rush (Rolf Benirschke kick),14,20
6,4.0,Patriots,Russ Francis 5 yard pass from Steve Grogan (John Smith kick),14,27
7,4.0,Chargers,Clarence Williams 1 yard rush (Rolf Benirschke kick),21,27
