,Quarter,Time,Tm,Detail,SEA,PIT
0,2,1:56,Steelers,Heath Miller 13 yard pass from Ben Roethlisberger (Jeff Reed kick),0,7
1,3,4:43,Steelers,Najeh Davenport 1 yard rush (Jeff Reed kick),0,14
2,4,10:06,Steelers,Najeh Davenport 5 yard rush (Jeff Reed kick),0,21
