,Quarter,Tm,Detail,PHI,STL
0,1.0,Eagles,Wilbert Montgomery 19 yard pass from Ron Jaworski (Tony Franklin kick),7,0
1,1.0,Cardinals,Mel Gray 42 yard pass from Jim Hart (Neil O'Donoghue kick),7,7
2,2.0,Cardinals,Neil O'Donoghue 21 yard field goal,7,10
3,2.0,Eagles,Rodney Parker 33 yard pass from Ron Jaworski (Tony Franklin kick),14,10
4,2.0,Eagles,Tony Franklin 32 yard field goal,17,10
5,3.0,Eagles,Harold Carmichael 14 yard pass from Ron Jaworski (Tony Franklin kick),24,10
6,3.0,Eagles,Harold Carmichael 38 yard pass from Ron Jaworski (Tony Franklin kick),31,10
7,4.0,Eagles,Billy Campfield 2 yard rush (Tony Franklin kick),38,10
8,4.0,Eagles,Wally Henry 20 yard pass from Joe Pisarcik (Tony Franklin kick),45,10
9,4.0,Eagles,Booker Russell 1 yard rush (Tony Franklin kick),52,10
