,Quarter,Time,Tm,Detail,BAL,GNB
0,1.0,10:32,Ravens,Travis Taylor 18 yard pass from Elvis Grbac (Matt Stover kick),7,0
1,2.0,14:55,Packers,Bubba Franks 2 yard pass from Brett Favre (Ryan Longwell kick),7,7
2,2.0,10:59,Packers,Ryan Longwell 33 yard field goal,7,10
3,2.0,0:02,Packers,Antonio Freeman 8 yard pass from Brett Favre (Ryan Longwell kick),7,17
4,3.0,5:46,Ravens,Matt Stover 28 yard field goal,10,17
5,3.0,0:42,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),10,24
6,4.0,6:59,Packers,Bubba Franks 2 yard pass from Brett Favre (Ryan Longwell kick),10,31
7,4.0,2:56,Ravens,Jason Brookins 1 yard rush (Matt Stover kick),17,31
8,4.0,0:38,Ravens,Randall Cunningham 11 yard rush (pass failed),23,31
