,Quarter,Time,Tm,Detail,CHI,ARI
0,1.0,12:12,Cardinals,Ricky Seals-Jones 35 yard pass from Sam Bradford (Phil Dawson kick),0,7
1,1.0,1:40,Cardinals,David Johnson 21 yard pass from Sam Bradford (Phil Dawson kick),0,14
2,2.0,1:54,Bears,Cody Parkey 20 yard field goal,3,14
3,3.0,6:16,Bears,Jordan Howard 1 yard rush (Cody Parkey kick),10,14
4,3.0,0:44,Bears,Cody Parkey 41 yard field goal,13,14
5,4.0,4:31,Bears,Cody Parkey 43 yard field goal,16,14
