,Quarter,Time,Tm,Detail,GNB,MIN
0,1,8:35,Vikings,Anthony Parker 23 yard defensive fumble return (Fuad Reveiz kick),0,7
1,2,8:35,Packers,Chris Jacke 50 yard field goal,3,7
2,2,8:35,Packers,Mark Brunell 5 yard rush (Chris Jacke kick),10,7
3,4,8:35,Vikings,Fuad Reveiz 29 yard field goal,10,10
4,OT,8:35,Vikings,Fuad Reveiz 27 yard field goal,10,13
