,Quarter,Tm,Detail,NYJ,NYG
0,1,Jets,David Knight 19 yard pass from Joe Namath (Pat Leahy kick),7,0
1,1,Giants,Pete Gogolak 26 yard field goal,7,3
2,2,Giants,Bob Tucker 2 yard pass from Craig Morton (Pete Gogolak kick),7,10
3,2,Jets,Pat Leahy 34 yard field goal,10,10
4,2,Giants,Pete Gogolak 22 yard field goal,10,13
5,3,Jets,Pat Leahy 22 yard field goal,13,13
6,3,Giants,Bob Grim 12 yard pass from Craig Morton (Pete Gogolak kick),13,20
7,4,Jets,Joe Namath 3 yard rush (Pat Leahy kick),20,20
8,OT,Jets,Emerson Boozer 5 yard pass from Joe Namath,26,20
