,Quarter,Time,Tm,Detail,IND,SEA
0,1.0,,Seahawks,John Kasay 37 yard field goal,0,3
1,1.0,3:33,Seahawks,Paul Green 18 yard pass from Rick Mirer (John Kasay kick),0,10
2,1.0,3:33,Colts,Marshall Faulk 45 yard rush (Dean Biasucci kick),7,10
3,2.0,8:54,Colts,Ray Buchanan 37 yard interception return (Dean Biasucci kick),14,10
4,2.0,8:54,Seahawks,John Kasay 31 yard field goal,14,13
5,3.0,8:54,Colts,Don Majkowski 1 yard rush (Dean Biasucci kick),21,13
6,4.0,8:54,Colts,Sean Dawkins 16 yard pass from Don Majkowski (Dean Biasucci kick),28,13
7,4.0,8:54,Colts,Dean Biasucci 21 yard field goal,31,13
8,4.0,8:54,Seahawks,Steve Smith 1 yard pass from Dan McGwire (pass failed),31,19
