,Quarter,Time,Tm,Detail,PIT,IND
0,1.0,12:43,Steelers,Shaun Suisham 48 yard field goal,3,0
1,1.0,3:29,Steelers,Mike Wallace 81 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,0
2,2.0,6:14,Colts,Adam Vinatieri 21 yard field goal,10,3
3,2.0,1:46,Colts,Jamaal Anderson 47 yard defensive fumble return (Adam Vinatieri kick),10,10
4,2.0,0:15,Colts,Adam Vinatieri 25 yard field goal,10,13
5,4.0,12:10,Steelers,Shaun Suisham 44 yard field goal,13,13
6,4.0,5:13,Steelers,Troy Polamalu 16 yard defensive fumble return (Shaun Suisham kick),20,13
7,4.0,2:09,Colts,Joseph Addai 6 yard rush (Adam Vinatieri kick),20,20
8,4.0,0:04,Steelers,Shaun Suisham 38 yard field goal,23,20
