,Quarter,Time,Tm,Detail,MIA,DAL
0,1.0,10:31,Cowboys,Brett Maher 28 yard field goal,0,3
1,1.0,6:02,Cowboys,Amari Cooper 5 yard pass from Dak Prescott (Brett Maher kick),0,10
2,1.0,0:58,Dolphins,Jason Sanders 22 yard field goal,3,10
3,2.0,5:51,Dolphins,Jason Sanders 33 yard field goal,6,10
4,3.0,12:33,Cowboys,Amari Cooper 19 yard pass from Dak Prescott (Brett Maher kick),6,17
5,3.0,3:36,Cowboys,Dak Prescott 8 yard rush (Brett Maher kick),6,24
6,4.0,3:50,Cowboys,Tony Pollard 16 yard rush (Brett Maher kick),6,31
