,Quarter,Tm,Detail,DAL,NYG
0,1.0,Giants,Mark Ingram 12 yard pass from Phil Simms (Matt Bahr kick),0,7
1,2.0,Cowboys,Ken Willis 22 yard field goal,3,7
2,2.0,Giants,Matt Bahr 34 yard field goal,3,10
3,2.0,Giants,Bob Mrosko 7 yard pass from Phil Simms (Matt Bahr kick),3,17
4,3.0,Cowboys,Emmitt Smith 4 yard rush (Ken Willis kick),10,17
5,4.0,Giants,Rodney Hampton 27 yard pass from Phil Simms (Matt Bahr kick),10,24
6,4.0,Giants,Jeff Hostetler 12 yard rush (Matt Bahr kick),10,31
7,4.0,Cowboys,Jay Novacek 7 yard pass from Troy Aikman (Ken Willis kick),17,31
