,Quarter,Tm,Detail,GNB,BOS
0,2,Packers,Clarke Hinkle 41 yard field goal,3,0
1,3,Packers,Lavvie Dilweg 15 yard pass from Arnie Herber (Clarke Hinkle kick),10,0
