,Quarter,Time,Tm,Detail,JAX,IND
0,1.0,10:59,Colts,Marvin Harrison 76 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
1,2.0,7:36,Jaguars,Jimmy Smith 9 yard pass from Mark Brunell (Steve Lindsey kick),7,7
2,2.0,5:09,Colts,Terrence Wilkins 27 yard pass from Peyton Manning (Mike Vanderjagt kick),7,14
3,2.0,1:28,Colts,Jerome Pathon 16 yard pass from Peyton Manning (Mike Vanderjagt kick),7,21
4,2.0,0:11,Jaguars,Jimmy Smith 26 yard pass from Mark Brunell (Steve Lindsey kick),14,21
5,3.0,5:32,Colts,Mike Vanderjagt 41 yard field goal,14,24
6,3.0,1:10,Colts,"Safety,",14,26
7,4.0,11:31,Colts,Mike Vanderjagt 22 yard field goal,14,29
8,4.0,8:42,Colts,Ken Dilger 4 yard pass from Peyton Manning (Mike Vanderjagt kick),14,36
9,4.0,5:55,Colts,Edgerrin James 14 yard rush (Mike Vanderjagt kick),14,43
