,Quarter,Time,Tm,Detail,MIN,PHI
0,1.0,11:20,Vikings,Morten Andersen 42 yard field goal,3,0
1,1.0,5:43,Eagles,L.J. Smith 11 yard pass from Donovan McNabb (David Akers kick),3,7
2,2.0,12:06,Vikings,Morten Andersen 19 yard field goal,6,7
3,2.0,6:36,Eagles,David Akers 37 yard field goal,6,10
4,3.0,11:22,Eagles,Donovan McNabb 20 yard rush (David Akers kick),6,17
5,3.0,4:37,Vikings,Morten Andersen 39 yard field goal,9,17
6,4.0,7:40,Eagles,Terrell Owens 45 yard pass from Donovan McNabb (David Akers kick),9,24
7,4.0,3:32,Vikings,Randy Moss 4 yard pass from Daunte Culpepper (Morten Andersen kick),16,24
8,4.0,1:11,Eagles,David Akers 47 yard field goal,16,27
